fabric_code,fabric name,Image,Url
B70001,Chiffon,,"<a href= ""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJIp5kqFLC0piulCvQarGJ2_2Kdrj9X1oQzg&s"" target = ""_blank"">chiffon</a>"
B70002,Chenille,,"<a href= ""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrokYT_KzXRy40yhSkbM1uzDApnjSlnVJf_g&s"" target = ""_blank"">Chenille</a>"
B70003,Georgette,,"<a href= ""https://www.sarojfabrics.com/pub/media/catalog/product/cache/e461f6a7c3abe4058405e5b51e40efd3/s/f/sfk15150a.jpg"" target = ""_blank"">Georgette</a>"
B70004,Satin,,"<a href= ""https://cdn.britannica.com/24/146624-050-7E550048/Satin.jpg"" target = ""_blank"">Satin</a>"
B70005,Rubia,,"<a href= ""https://fabricdekho.com/cdn/shop/files/FabricDekhoO-04596.webp?v=1726748305"" target = ""_blank"">Rubia</a>"
